,COMMONERS,COMMONERS.Carpenter,COMMONERS.Cobbler,Marullus,Flavius,Soothsayer,Cassius,Cicero,Calphurnia,Antony,Brutus,Portia,Casca,Decius,Caesar,SERVANTS.CAESAR.1,Cinna,Ligarius,Trebonius,Metellus,Publius,SENATORS,Artemidorus,Lepidus,Popilius,PETITIONERS,SOLDIERS.BRUTUS.Claudius,SOLDIERS.BRUTUS.Varro,Lucius,PLEBEIANS.0,SERVANTS.OCTAVIUS.1,PLEBEIANS,Octavius,SOLDIERS.ANTONY,Messenger,SOLDIERS.BRUTUS,SOLDIERS.BRUTUS.Titinius,SOLDIERS.BRUTUS.Lucilius,SOLDIERS.BRUTUS.Messala,SOLDIERS.BRUTUS.Cato,SOLDIERS.BRUTUS.Strato,SERVANTS.ANTONY.1,Pindarus,SOLDIERS.CASSIUS,Poet,SOLDIERS.BRUTUS.Volumnius,SOLDIERS.BRUTUS.Labeo,SOLDIERS.BRUTUS.Flavius,SOLDIERS.BRUTUS.Clitus,SOLDIERS.BRUTUS.Dardanus,CinnaPoet
Octavius,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,430.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,330.0,187.0,161.0,161.0,250.0,250.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lepidus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Lucilius,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,78.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,259.0,0.0,0.0,22.0,166.0,0.0,85.0,93.0,0.0,26.0,144.0,22.0,0.0,81.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Pindarus,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,163.0,0.0,0.0,0.0,0.0,0.0,23.0,55.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poet,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Messala,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,40.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,40.0,40.0,0.0,11.0,281.0,61.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Titinius SOLDIERS.BRUTUS.Messala,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
